pipeline,f1_mean,f1_std,acc_mean,acc_std
Hybrid_v2_style,0.8052,0.0064,0.8052,0.0064
Hybrid,0.7983,0.0025,0.7983,0.0026
Hybrid_v1,0.7931,0.0018,0.7931,0.0018
V3_char_grams,0.7764,0.0051,0.7764,0.0051
Optimized_v2_tokenized,0.7672,0.0037,0.7673,0.0036
Optimized_v2,0.765,0.0045,0.7652,0.0045
Cleaned,0.6387,0.0056,0.6467,0.0048
Baseline,0.638,0.0067,0.6464,0.0055
