pipeline,f1_mean,f1_std,acc_mean,acc_std
logistic_regression,0.8127,0.0041,0.8127,0.0041
sgd,0.8059,0.005,0.806,0.005
random_forest,0.7912,0.0019,0.7915,0.0018
linear_svc,0.7893,0.0048,0.7893,0.0048
multinomial_nb,0.7515,0.0052,0.7516,0.0051
complement_nb,0.7514,0.0054,0.7515,0.0054
decision_tree,0.696,0.0057,0.6961,0.0057
adaboost,0.6868,0.0107,0.6919,0.0089
knn,0.5641,0.0097,0.5989,0.0052
